run,start,end,exit_hex,summary_yn,last_packet,skipping_yn,event1000_yn,dump_path,notes
c00,2026-08-15 19:37:50,2026-08-15 19:38:50,0x00000000,y,6000,n,n,,sim
c00kill,2026-08-15 19:39:18,2026-08-15 19:39:27,0xFFFFFFFF,n,937,n,n,,sim
c01,2026-08-15 19:55:24,2026-08-15 19:55:48,0xC0000374,n,5,n,y,C:\Users\brets\Documents\Repositories\TDTClosedLoop\crash_dumps\MpcPo8eUdpClosedLoop.exe.46788.dmp,zeroed
c02,2026-08-15 19:57:35,2026-08-15 19:58:03,0xC0000374,n,,n,y,C:\Users\brets\Documents\Repositories\TDTClosedLoop\crash_dumps\MpcPo8eUdpClosedLoop.exe.22820.dmp,zeroed
c03,2026-08-15 20:13:22,2026-08-15 20:14:13,0xC0000005,n,,n,y,C:\Users\brets\Documents\Repositories\TDTClosedLoop\crash_dumps\MpcPo8eUdpClosedLoop.exe.26384.dmp,zeroed
c04,2026-08-15 20:24:34,2026-08-15 20:25:54,0x00000000,y,6000,n,n,,
c05,2026-08-15 20:29:24,2026-08-15 20:30:45,0x00000000,y,6000,n,n,,
c06,2026-08-15 20:31:38,2026-08-15 20:32:54,0x00000000,y,6000,n,n,,
c07,2026-08-15 20:34:01,2026-08-15 20:35:23,0x00000000,y,6000,n,n,,
c08,2026-08-15 20:36:12,2026-08-15 20:37:30,0x00000000,y,6000,n,n,,
c09,2026-08-15 20:38:24,2026-08-15 20:39:36,0x00000000,y,6000,n,n,,
c10,2026-08-15 20:40:10,2026-08-15 20:40:42,0x00000000,y,1408,n,n,,
