tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8
1,1,706.8311,20.2497021,0,0,20.7278244,0,0,0,0,8.8027984e-05,8.26510732e-05,0,0,0,0,0,0
2,2,706.9465,20.5337357,0,0,21.3004234,0,0,0,0,7.08949738e-05,4.71789062e-05,0,0,0,0,0,0
3,3,707.0441,19.3058647,0,0,18.4347023,0,0,0,0,6.95762938e-05,2.15625769e-05,0,0,0,0,0,0
4,4,707.144,20.0029977,0,0,20.4655943,0,0,0,0,-3.84880004e-05,5.72867611e-06,0,0,0,0,0,0
5,5,707.2399,19.9933938,0,0,20.457466,0,0,0,0,-1.79934705e-05,-2.2546003e-06,0,0,0,0,0,0
6,6,707.3449,20.1911985,0,0,20.8952775,0,0,0,0,-5.10009841e-06,-6.3769985e-06,0,0,0,0,0,0
7,7,707.4138,20.0507156,0,0,20.4875911,0,0,0,0,3.63349245e-05,-8.3197956e-06,0,0,0,0,0,0
8,8,707.4445,20.0446898,0,0,20.4761352,0,0,0,0,3.71458082e-05,-9.39384154e-06,0,0,0,0,0,0
9,9,707.4819,20.0189208,0,0,20.4300804,0,0,0,0,3.80525053e-05,-9.93775757e-06,0,0,0,0,0,0
10,10,707.5162,20.0537932,0,0,20.531498,0,0,0,0,2.99704188e-05,-1.02288468e-05,0,0,0,0,0,0
11,11,707.5502,20.062016,0,0,20.5525931,0,0,0,0,3.29767972e-05,-1.03490293e-05,0,0,0,0,0,0
12,12,707.5849,20.0695885,0,0,20.5687817,0,0,0,0,3.54681288e-05,-1.04019464e-05,0,0,0,0,0,0
13,13,707.6175,20.0655921,0,0,20.5573364,0,0,0,0,3.97780605e-05,-1.0422199e-05,0,0,0,0,0,0
14,14,707.6497,20.0663219,0,0,20.5604076,0,0,0,0,4.03936028e-05,-1.04348601e-05,0,0,0,0,0,0
15,15,707.6814,20.0673372,0,0,20.5645543,0,0,0,0,4.07482985e-05,-1.04406417e-05,0,0,0,0,0,0
16,16,707.7147,20.0699598,0,0,20.5720972,0,0,0,0,4.03953454e-05,-1.04427509e-05,0,0,0,0,0,0
17,17,707.7462,20.07123,0,0,20.5755261,0,0,0,0,4.09200948e-05,-1.04418259e-05,0,0,0,0,0,0
18,18,707.7777,20.0720346,0,0,20.5776263,0,0,0,0,4.13834277e-05,-1.04403362e-05,0,0,0,0,0,0
19,19,707.8089,20.0723498,0,0,20.5785754,0,0,0,0,4.19039243e-05,-1.04389374e-05,0,0,0,0,0,0
20,20,707.8736,20.0727757,0,0,20.5798829,0,0,0,0,4.20733995e-05,-1.04379678e-05,0,0,0,0,0,0
21,21,707.9563,20.0731752,0,0,20.5810922,0,0,0,0,4.21824807e-05,-1.04371502e-05,0,0,0,0,0,0
22,22,708.0487,20.0735474,0,0,20.582164,0,0,0,0,4.22265039e-05,-1.0436429e-05,0,0,0,0,0,0
23,23,708.1496,20.0738029,0,0,20.5828899,0,0,0,0,4.23290548e-05,-1.04357778e-05,0,0,0,0,0,0
24,24,708.2355,20.0739891,0,0,20.5834224,0,0,0,0,4.24163918e-05,-1.04352494e-05,0,0,0,0,0,0
25,25,708.2705,20.0741277,0,0,20.5838285,0,0,0,0,4.24938371e-05,-1.04348364e-05,0,0,0,0,0,0
26,26,708.3505,20.0742465,0,0,20.584178,0,0,0,0,4.25337566e-05,-1.04345199e-05,0,0,0,0,0,0
