tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,219.932824809546,197.781791130079,248.952828095334,307.355790555752,209.34265715637,302.48767679509,235.829247220849,251.877413786373,246.230053808587,254.599988871503,253.427499951279,274.853492054201,185.867815240298,189.147446249363,234.940980733847,269.782948923265
2,2,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,201.708448370343,247.214181327064,264.337553350187,261.531737266627,273.978693861776,265.415512167235,251.40397867527,225.735319157291,278.505874847623,227.051529277995,257.840061753035,323.311879098272,234.387571461912,294.908156710781,228.296027638552,216.3423636707
3,3,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,318.773457873425,301.780986291215,300.690953646495,217.213843641598,186.485093873725,311.780736234854,248.620749308239,287.440721614276,275.295480685438,287.95037413323,238.147243916207,278.588830627294,323.052030706268,188.618098348213,270.539322078925,288.219052185517
4,4,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,244.37755788362,267.952587723858,318.279069369349,204.432426671088,196.270667778578,231.364716830988,241.106702196038,242.1978559731,251.365802775283,263.021498843471,245.654333197559,320.518641185286,280.856691080007,223.449745563309,214.811594128082,251.43116395714
5,5,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,181.937510375957,226.759932115742,242.998815321182,258.177597519682,254.784400382205,315.556400471124,272.029648332485,238.747026241114,192.183242663239,264.485709596919,205.879649290936,259.638043831049,261.754107024333,238.540634651831,296.570487270328,233.658819189179
6,6,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,313.187289988235,168.494447471673,233.176021317567,241.876889633826,224.295986240025,219.349911632238,282.412309638504,298.350778192964,220.893191300958,250.974965335246,244.620957935726,316.197711226757,255.195262645377,154.993500039814,190.022818975268,224.427188078945
7,7,60,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,263.820764043335,236.040016791124,260.050546118122,208.78453541587,237.951311318249,211.900637283352,301.270915968048,281.773464045573,243.321725703495,267.762808413058,302.567621819087,288.531993012314,214.108255993158,174.040741303213,204.185477173556,218.498717465142
8,8,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,227.40961665143,293.099075848787,270.770238419419,261.855484756226,176.494788027722,185.827770020243,317.965622128747,263.241570551372,226.918424474262,154.560355234687,257.894912168462,226.43095340343,309.154354775207,259.835757254154,221.967003747872,248.886178725874
9,9,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,281.818063253371,207.972478499892,223.178388516309,189.845440454528,210.359102627053,210.093090806641,272.543684388084,272.093843037866,262.336089342187,243.751917820209,220.030853734676,283.174556305144,214.885274236632,173.226462298806,186.354756890774,233.460305805454
10,10,90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,242.308903207349,233.469517356934,280.105626149191,185.444935104879,219.959719183365,288.845084153727,309.621829193676,206.346474091229,263.708821064127,251.220654544276,210.205911514564,243.242325188445,238.681786151981,264.143825618023,326.069440335734,238.771077285118
11,11,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,213.29816728617,285.892520486691,234.792778185394,248.165047323592,252.351851985049,257.96943790765,318.53111184056,308.911677394572,262.047550497593,211.403028705946,260.820547148351,240.259645827212,305.269330134254,169.965803920996,257.275593837347,279.0590736937
