tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,264.183062578294,258.174172097934,221.772709362632,250.963243036974,298.509185683978,291.982553006987,255.902096222402,241.340652584799,242.48790654613,235.379289119449,313.11195575498,249.282393030534,211.92621782413,259.618309075857,237.510174058525,342.417115237307
2,2,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,215.790349349534,265.305839673238,236.992158573759,258.149907517354,260.09323084631,225.252319219477,250.045176583591,256.854132839397,258.597105710088,294.48633158428,280.72517204283,243.963497486079,205.174784253446,241.967005824145,260.93078670635,202.771106279371
3,3,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,173.914789770348,278.970485668441,214.101171665446,271.558576540839,208.09922370145,326.780246076913,254.222704765645,209.076126657415,244.783024297229,200.947767453201,281.075073887607,269.040240977467,159.611792901749,255.177752198793,299.435884784404,219.639167895064
4,4,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,294.18141516561,275.222758508868,229.440399476457,258.211396956716,219.206022039263,274.868715500794,272.014285500544,213.521955078577,269.769636257532,273.186741761181,200.243079282053,216.971698305961,263.434877570941,266.116397349148,209.199887208218,252.531920419623
5,5,40,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,204.700383554692,321.827382013603,313.481745871133,214.421442706839,270.97992831117,235.50077071654,273.580898219823,210.875522801962,245.921279844184,247.329457056018,309.342600998612,211.136105607131,281.833734689138,338.138379202611,246.961495345354,210.305810393271
6,6,50,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,248.374018582715,254.218309960702,278.14765252908,247.404108143946,201.620025652908,221.93307703858,267.103741145172,240.152339404083,248.608443861928,270.940400930482,290.830513865841,266.324327267326,267.227344453488,246.178194045814,303.836433354999,265.114857392943
7,7,60,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,231.593716599259,308.3442822281,290.517055267034,329.251270632995,168.224481210412,297.894338309289,301.383165588413,238.073412789559,251.529476176775,276.476383422102,226.949078724975,275.0165270123,230.789942936386,318.044216119091,285.434043164098,241.379304197127
8,8,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,254.041201073316,258.964598361334,253.97333580951,269.77948789829,197.53603279944,227.460386436214,289.529478606326,193.736352355208,254.790707698589,233.985499546179,264.17707003664,306.530732550221,267.20760664604,186.705253715771,300.258129573246,303.493377739402
9,9,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,295.288308747182,217.30037384911,267.602414398244,272.942422421323,209.327444458233,233.096970255646,314.395676620491,265.498855265742,224.120708925422,256.994040522192,330.907841981624,242.041056536051,236.97480155328,236.339369255938,240.437134759257,258.505081510595
10,10,90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,233.983550776835,260.492475097388,241.15622687375,210.489031261878,235.18723298555,291.98480989176,329.082837625037,218.398166960592,204.019576316843,239.042562750977,211.706443939575,285.152919434714,292.608296830171,253.099648988648,270.398427002113,290.394600899263
11,11,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,279.552464176481,323.679494901208,255.914870004458,230.693631739472,300.614872155918,279.965654964919,329.74355972496,246.621247712033,225.677293848411,180.3278835086,256.547773848528,230.438826727516,273.297628111706,255.266849207507,187.405853132439,209.815384948166
12,12,110,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,196.739978703004,272.192369104444,300.958590804205,274.02367989269,288.959373618302,235.801019757522,333.460070143133,221.288041079264,224.00779574624,201.091866513236,227.469345453778,221.113294439948,251.907063753845,246.541034141594,233.329427420162,208.072883513017
13,13,120,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,280.082036494316,227.545027441149,261.623165865593,182.996180997488,251.424723569469,237.655743467428,323.876747150443,269.717146582485,297.515305904634,222.412839893911,181.321613366408,249.418376356973,263.347728176036,172.960180508935,245.36936427429,263.073678050955
14,14,130,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,240.835253847639,261.549481931126,193.432485826473,230.846206276436,232.756217019032,257.392720233609,356.835533316846,194.219748818803,301.84590371972,273.591912593572,215.298530591855,250.851512109368,272.200479259259,297.749950731244,243.290545086562,254.750614558296
15,15,140,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,197.982067947606,251.222099226001,265.411832582398,256.560587921127,212.619546373023,285.746965279738,371.885306035969,253.66839848972,281.734292722896,367.649208606656,285.462243489154,246.2627259634,276.393833413581,202.762477109207,199.607403450339,238.240879800698
16,16,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.38393090238,205.296881157999,198.777657525889,270.574404148314,145.374143569025,228.55349200573,359.190340655117,207.026473586474,243.098317263515,276.05492880819,252.720471901187,207.354474560546,194.938221437339,267.499552545942,167.88380063947,295.638085717846
17,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.098798171171,163.976418183219,254.98442068857,241.574738341403,315.638854046292,276.427710381306,382.083617695343,189.49572153564,254.984750327859,258.111486312834,282.406498264099,273.053894793447,223.436590737135,273.495067193261,256.750763842884,272.04933935824
18,18,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.821256682794,241.022395904655,223.945056423703,217.15651878206,248.677747117051,226.732155217365,372.916113696007,331.826352008932,251.363834895661,215.792308716056,331.395525317639,195.270594282419,317.784723802354,224.442487175637,246.479768421114,214.678824706833
19,19,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.818810281316,297.203806277317,225.827121744571,257.123463873279,299.442842825301,122.547179079726,364.838449323054,224.505368076867,332.860891654845,318.44695303224,270.873690977092,208.774767857485,228.894262218578,225.20226881182,185.297893880721,210.726683241292
20,20,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.268611977461,260.23456871518,246.52056814518,231.12123387509,261.99128453948,224.105091289718,360.784066089124,246.502705338954,288.879311119189,225.605014078669,229.667106222575,286.747058230942,282.779917083024,237.316436009553,233.236529130126,310.197060308513
21,21,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.242093232903,199.95774941225,242.575651411155,258.262323570456,240.175715083777,206.113345433624,361.244170147063,300.303154886595,197.11455541495,219.071426263971,254.875908735629,153.397124641395,258.915335450338,286.777943027037,300.928223445831,254.321957489814
22,22,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.991669129365,273.000497678195,280.002550486658,249.600827588121,280.614597871195,250.939130691682,329.39917893548,221.182151808424,264.192286369072,294.118224716042,297.513344338151,257.240352244142,232.103929232487,312.770234501098,243.211702902493,214.305077121007
23,23,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.211437665595,294.29647702772,287.376945622352,312.069753094004,247.308126488005,204.572909487424,336.621443574615,242.370890748912,268.783158022466,233.59948145103,302.161250193598,269.789778334666,284.596260331867,261.669879661809,181.306288882341,234.143601537917
24,24,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.858274056649,260.075703852004,235.266167206562,173.161074578523,180.346731990743,245.470534895568,334.605230207136,271.265542273654,196.263233174183,316.93023563457,237.847165927755,243.413526579893,272.186098578784,262.486715978475,254.312302922726,242.880202332169
25,25,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.400606506029,261.442378292746,266.300607948381,259.304559662617,169.059763205082,332.487906688668,302.143373335826,225.216069511248,244.788427429028,245.607486068938,186.323477218967,238.902886883443,217.187725724977,212.168939442158,295.3754205068,206.392300436577
