tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32
1,1,0,0,0,0,0,0,0,0,0,219.722728994863,197.416913915499,248.945510931915,307.756566866371,209.058562042232,302.854436929596,207.190685238297,251.890532304373,246.203711130521,254.632131512218,253.451449769978,275.027157010345,185.419688553335,188.722236139841,234.835755121497,269.921183218457,316.29424298613,254.368385380293,253.827053737953,271.131120874845,306.208850243436,239.654980297705,240.305494333813,252.876323144501,280.154642015373,213.912724603086,234.056097497082,325.481850656048,233.137460527639,173.972749071776,239.90949901435,248.614300651026
2,2,10,0,0,0,0,0,0,0,0,201.371008859725,247.194715286774,264.437737685183,261.612315828477,274.146246124002,265.523228790663,254.241367128835,225.565768547453,278.705061002006,226.891175748888,257.894844556898,323.824149335415,234.278478875991,295.221954588709,228.144370100848,216.107179338281,199.425755094181,226.392729124949,340.069887158424,294.756541014091,225.64918889457,238.427600704554,256.675618618855,249.875445654585,186.864284643178,242.10470714454,220.366507344297,240.644047547363,247.097893295973,269.614575878084,202.57178187991,261.240460605059
3,3,20,0,0,0,0,0,0,0,0,319.254015676708,302.142808392261,301.045159092665,216.984748816866,186.04128045053,312.212432063568,230.728521973146,287.702340434801,275.472234058135,288.215554174937,238.064422220125,278.788596439128,323.562485240432,188.18918939509,270.682841567466,288.486109627876,269.765586025624,223.175413815142,301.443451985728,228.065405614399,192.376158583645,286.121551454669,254.597172869024,263.817654494822,272.129356869167,301.635347242678,268.901680294735,253.76151344009,190.069798218779,272.931465140739,288.448936344806,257.267560480507
4,4,30,0,0,0,0,0,0,0,0,244.338270802294,268.078032283236,318.756172609479,204.114021088222,195.895231517809,231.234501904762,183.861165213433,242.14333812115,251.375346387044,263.112487185095,245.62396764438,321.011393539848,281.072303674466,223.264224399429,214.565713470781,251.441164283263,291.754830499034,210.217280989031,195.977949040226,227.001082117527,224.405373687663,227.775022191694,260.421106256465,253.459290446534,294.922168206697,192.233016832513,259.130492327776,213.800389647447,205.995091453561,305.317978025168,244.43727039187,270.305611068273
5,5,40,0,0,0,0,0,0,0,0,181.461920497084,226.597541037615,242.949894210718,258.234738870745,254.81783160711,316.014478933015,248.125940787235,238.668395552514,191.779245325344,264.586929180726,205.571356244862,259.705390120077,261.836239405426,238.460561792199,296.895900761993,233.54463441214,250.020182573222,225.970113710051,195.173102371351,232.928191652081,295.906002973303,211.675586288162,249.287662564737,263.055004091776,233.97523718261,331.441940489283,231.578895580129,242.28504136121,305.89462354117,199.020929756435,194.060228478036,271.946513200553
6,6,50,0,0,10,0,0,0,0,0,313.628814178106,167.924923552278,233.058462967469,241.820129014336,224.116378223066,219.135742684044,248.073561240449,298.688631552006,220.689806092746,250.981777951832,244.583371623825,316.660270878012,255.23156478986,154.329637609012,189.603725574244,224.248496841066,265.918094966824,207.711939142341,221.78914236442,267.47630470775,209.407741907692,271.488026238677,254.574480099465,223.899207473719,241.29941375586,214.891320359194,252.847372288299,233.843597125497,236.398137995044,262.360729880731,228.760707971405,167.018599648048
7,7,60,0,0,10,0,0,0,0,0,263.917337288504,235.942470745423,260.120774786473,208.496540399561,237.867120533833,211.634416176842,273.141830465367,281.995482634671,243.275060944664,267.886926880488,302.934940573245,288.801237143563,213.857460727233,173.509972375388,203.865346019347,218.278600757278,209.692278074271,213.037629900252,295.983707288389,299.058812225473,272.326295298025,287.168005043096,247.439092486012,190.998413135279,174.971836820016,286.594758991969,266.065409708974,251.713332478999,207.414118944132,226.821681458722,251.932020080762,319.734648794796
8,8,70,0,0,10,0,0,0,0,0,227.251765274852,293.40023268827,270.915371446856,261.938325519036,175.981166867938,185.379363515402,292.324659760125,263.334096654508,226.757140869017,153.893466183987,257.950078242208,226.266263570926,309.567698638733,259.904485075116,221.771121855134,248.87839584682,233.024116349083,226.790510863397,252.290504439063,260.121358949792,248.138144087541,265.072654948447,241.390610654783,200.486647827705,261.744059579716,255.459103303355,254.008354034148,269.462258837764,263.456206232665,279.888273926677,233.510912872708,382.645201420261
9,9,80,0,0,10,0,0,0,0,0,282.040393481552,207.678809197315,222.990971232176,189.425107612666,210.082109973917,209.814239383276,125.2034876171,272.248224815439,262.422288352368,243.708259049225,219.821442901764,283.406365092951,214.639908422588,172.690003557763,185.91003273172,233.344733906718,199.529440506927,203.119703838024,263.612228406475,268.816839138695,225.367226103444,227.048322843782,268.511566864564,287.170643795367,272.092619965394,171.295224697183,263.190106644573,230.505921145481,236.904875466282,295.737431705246,250.910025920699,253.782265726241
10,10,90,0,0,10,0,0,0,0,0,242.255161303222,233.354009824351,280.315990641774,184.993853522884,219.749811294397,289.116516024196,209.058356037411,206.041443005619,263.804612102413,251.229183925879,209.927848431253,243.195105614744,238.60269959516,264.242656271289,326.600979162995,238.69261465433,266.56999123956,232.766928169778,260.220590049356,265.312564731532,260.528067368882,211.842057498587,287.619114147233,211.228992464755,291.680142644492,198.376833289778,215.814770710053,206.23103517088,176.858326666081,296.000409132289,284.488768481958,249.424795711832
