tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.411034878908,247.672810616495,252.269735257891,250.746675819026,254.167738999939,248.957600910593,249.200775038788,252.809346719062,254.853997482205,251.536486895914,251.314635723627,251.266285536103,253.583438623224,249.648422789936,250.543720648071,248.359438419532
2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.433682660911,251.551286010445,246.807951175354,246.171359906945,250.642040831862,246.927330760942,251.214598410606,245.648478244145,251.443172228963,251.91218496734,247.855505822278,248.46117784031,247.873865642952,250.349655926704,252.435376658599,249.464132524904
3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.829624541705,245.605451141927,249.495489839282,250.542687962351,253.586645177813,251.471587924756,250.653500724239,249.283131134837,248.822579150827,250.635552466038,249.599067038008,249.009971747792,247.289599327394,245.439584298568,250.656975874767,249.577909563708
4,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.98542602348,252.168151610116,249.579900060991,254.345345402685,248.565907219577,248.317417719217,248.378933989401,248.687731122189,252.503630848562,250.944763388816,247.277973190995,253.283096751068,249.112918630107,252.046931364081,249.647922618514,249.816321463281
5,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.031171524712,250.140508180476,251.40162034949,250.551133746117,250.883124897152,250.826080770823,250.660559428354,251.138424969642,254.989350206038,253.021448484793,253.863591754393,248.453555714751,250.413704627471,250.003972946323,247.218079352017,248.029748442834
6,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.974401940862,252.567851662925,250.691175957574,251.209619230917,247.829875090058,247.343421577006,250.722925428732,249.471026846326,254.307119366294,253.328496641169,245.488548902658,245.670210543755,249.518174745553,251.653990024937,247.833856965276,248.686903065608
7,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.437596223058,251.1827383368,246.903223436764,247.858073568084,248.860029399934,251.057195374153,250.514300324055,254.467806323839,253.09649202754,250.760386851647,249.743313654251,246.581704539283,249.728650951666,255.855899499406,248.713028492482,250.82958477767
8,8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.657907905966,245.516809155428,250.686482596557,251.511763716857,249.476533321097,257.177221517901,250.777085401493,246.894635537335,246.121178151898,249.457577337466,248.156233682758,249.057317514715,248.186887761669,251.878587599895,252.30281922365,253.749302605174
9,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.677472396643,248.343469847674,253.703110333395,250.041949615902,251.421144753994,249.317317221235,249.319257522651,251.73763805537,248.614695291817,251.945920085782,249.228920505477,254.425423947323,245.902098238728,247.696542133236,254.680911092325,248.62291898977
10,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.050179279699,253.908864532404,249.658455979756,252.960464324822,251.355998073203,249.082786656226,250.202927358687,250.838140469124,248.459794696351,243.709295105033,251.278325184114,251.060142651477,248.285805084716,250.869883542564,250.395226924667,246.90312845156
11,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.024864385631,247.662276082674,250.812161125691,246.592111974934,254.416071286167,246.628672291261,250.386746496929,248.726335489914,249.302515625301,246.63642377616,249.554060028175,247.922879370035,248.143836840417,248.92947739738,250.899578982199,251.656419276212
12,12,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.519117303587,248.968299919525,250.331236222354,250.688717945014,250.563791158438,253.810668109113,247.890737637089,250.657126865572,251.733959182256,250.518518211434,248.860597363149,246.9415089826,251.20362836425,246.577800221668,247.942321613875,252.185748623842
13,13,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.312631583678,251.466801968007,250.490923500597,254.352449346086,251.022181735758,247.102913409403,249.01133889211,249.423853896097,248.154269097389,248.228086902764,254.262199469828,246.868768188201,248.132925427627,245.318138205663,245.084964884522,248.715093995393
14,14,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.644885133067,245.537923689816,247.60665094312,252.815890095673,247.032031554436,251.182484163662,250.419874778584,250.970952752111,253.766028776868,250.608012923152,250.178589315732,251.10711636318,248.939661818216,249.691340339588,251.953119711892,252.133127326352
