tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32
1,1,0,0,0,0,0,0,0,0,0,252.411034880235,247.672810615215,252.269735259139,250.746675819437,254.167739002232,248.957600910019,247.602325115046,252.809346720607,254.853997484875,251.536486896759,251.314635724351,251.2662855368,253.583438625195,249.648422789743,250.54372064837,248.35943841863,245.633506090138,249.812113415215,250.734818542098,253.398109133619,250.285242895807,251.058134437662,248.855847929116,251.615139616687,249.200831096415,250.145680215861,249.704401837805,250.841801332684,254.006757725067,249.350332136052,250.320835586735,251.127005295844
2,2,10,0,0,0,0,0,0,0,0,246.433682658949,251.551286011298,246.807951173598,246.171359904839,250.642040832215,246.927330759251,253.643795233823,245.648478241751,251.443172229757,251.912184968392,247.855505821099,248.461177839463,247.873865641782,250.349655926896,252.435376659939,249.464132524609,250.425419991659,251.498242529197,248.572341564332,248.116386688728,253.657944688379,249.847369383869,250.578008325355,250.758213653909,245.909430730837,251.858587383922,248.731641737072,248.006112611986,252.953685512456,248.479366801569,249.951918124187,247.845121166594
3,3,20,0,0,0,0,0,0,0,0,252.829624543261,245.605451139509,249.495489839005,250.54268796265,253.586645179786,251.471587925566,251.960502173797,249.283131134443,248.82257915018,250.635552466388,249.599067037787,249.009971747248,247.289599325903,245.439584296059,250.656975875128,249.577909563475,248.941662603381,250.874491968065,252.321320118214,248.674133823897,248.710889542025,249.070176322182,249.591867433143,245.638737188769,249.358873148874,248.786231853329,247.630563915291,252.190228216515,245.289392234269,251.201903402654,252.972657730597,247.609550398209
4,4,30,0,0,0,0,0,0,0,0,250.985426024022,252.168151611309,249.57990006076,254.345345405076,248.565907218788,248.317417718291,245.136801965527,248.687731121467,252.50363084994,250.944763389336,247.277973189498,253.283096752874,249.112918629619,252.046931365207,249.64792261832,249.81632146318,249.650383784268,246.058803112475,252.482420901975,246.82694166821,252.235846327147,252.243957793989,249.105310460235,247.143027550415,250.875274791019,248.475944851416,246.084288087225,249.909066501427,251.528810988263,248.294361115691,249.819010739363,253.411268910175
5,5,40,0,0,0,0,0,0,0,0,249.031171524179,250.140508180553,251.401620350261,250.551133746421,250.883124897638,250.826080771277,251.981678286151,251.138424970268,254.989350208783,253.021448486456,253.863591756519,248.4535557139,250.413704627699,250.003972946325,247.218079350487,248.02974844175,247.205800377422,247.411979532191,253.16240614087,249.760187443569,248.51425704964,247.605646571805,250.034790553992,251.771188343702,250.051927716652,252.6954712734,245.310621066423,248.715315207067,252.88164952842,249.105593057011,250.009120443594,252.361063298165
6,6,50,0,0,0,0,0,0,0,0,252.974401942499,252.567851664338,250.691175957954,251.209619231583,247.829875088864,247.343421575545,252.16877628739,249.471026846035,254.307119368664,253.328496643,245.488548900176,245.670210541373,249.518174745288,251.653990025847,247.833856964084,248.686903064885,249.837598523544,250.036998042649,251.326012800599,249.375740319814,249.623900352455,252.648737335704,249.191776157029,250.949627812065,247.468201797902,252.104926032022,249.142769265771,247.973111476254,246.806656654224,249.266345169425,245.435639643423,255.061974923231
7,7,60,0,0,0,0,0,0,0,0,250.437596223299,251.182738337451,246.903223435061,247.858073566906,248.860029399307,251.057195374735,251.542900973013,254.467806326296,253.096492029243,250.760386852065,249.74331365411,246.581704537403,249.728650951517,255.855899502628,248.713028491774,250.829584778127,252.467847727201,250.723158909148,251.386075668794,249.552285153642,248.304089803786,249.778448751704,249.171861896515,250.901185513374,249.51362989782,249.786479306174,250.182002641872,251.386499031464,252.710495834618,247.831518738959,252.962031312863,250.882111735391
8,8,70,0,0,0,0,0,0,0,0,248.657907905228,245.516809152962,250.686482596935,251.511763717689,249.476533320809,257.177221521849,252.33125620576,246.894635535627,246.121178149764,249.457577337168,248.156233681744,249.057317514196,248.186887760671,251.878587600929,252.302819224917,253.749302607237,248.85132905062,249.098939413,248.36198585801,250.495334853439,251.42907364655,252.071414251197,249.936506815819,249.072295329286,251.757408519346,248.877865663244,247.915122158889,249.36873037067,247.682019663305,247.782895771898,253.684331632736,251.031219208789
9,9,80,0,0,0,0,0,0,0,0,248.677472395916,248.343469846763,253.703110335432,250.041949615925,251.421144754776,249.317317220859,247.957772566829,251.737638056326,248.614695291054,251.945920086852,249.228920505053,254.425423949758,245.902098236473,247.696542131969,254.680911094901,248.622918989012,246.786046140943,248.728206282993,245.49474992055,249.041547147538,247.895844264892,248.456373178577,250.24281335085,250.896205753837,248.975630186293,249.774626362423,251.820491808219,250.051032246768,248.226245567948,247.799735660821,252.640094137878,249.419524649859
10,10,90,0,0,0,0,0,0,0,0,248.050179278626,253.908864534554,249.658455979568,252.960464326451,251.355998073949,249.082786655721,250.608782076395,250.838140469585,248.459794695504,243.709295101573,251.278325184818,251.06014265206,248.285805083773,250.869883543042,250.395226924885,246.903128449857,251.379688619357,245.995709978318,248.057685717664,242.922158720259,250.591817613641,246.394133530851,251.096499311265,251.457858832892,250.291548342415,247.489578500331,249.444135893961,250.719528228234,250.224943497138,247.023690389572,253.3474739606,247.936724138305
11,11,100,0,0,0,0,0,0,0,0,250.024864385645,247.662276081388,250.812161126138,246.592111973059,254.416071288596,246.628672289406,251.160239491425,248.726335489214,249.302515624918,246.63642377431,249.55406002793,247.922879368892,248.143836839396,248.929477396791,250.899578982694,251.656419277123,250.881189782324,246.457662705246,254.151421090725,252.419959760201,246.202675296035,250.95306559511,250.050139373705,247.864247063302,254.833282082639,250.927534889226,248.538338764892,249.944240015314,248.143409453248,254.493829789729,250.864176124831,251.448879209422
12,12,110,0,0,0,0,0,0,0,0,249.519117303322,248.968299918957,250.331236222536,250.688717945393,250.563791158748,253.810668111209,243.672212907786,250.657126865933,251.73395918321,250.518518211719,248.860597362522,246.941508980917,251.203628364912,246.577800219786,247.942321612743,252.185748625045,251.827114381554,251.542489748231,253.746563538137,253.643931391965,251.38767682069,252.665532609819,250.398004833566,247.307414993179,250.70689614698,246.145179135389,245.993107576412,252.984919104635,252.088489502669,250.658195947067,250.553897117782,253.987849067312
13,13,120,0,0,0,0,0,0,0,0,247.3126315822,251.466801968814,250.490923500867,254.35244934848,251.022181736321,247.10291340781,247.034016674698,249.42385389578,248.154269096373,248.228086901789,254.262199472172,246.868768186479,248.1329254266,245.318138203087,245.084964881818,248.715093994686,252.425078230582,251.277967145578,249.998080822744,249.561248771247,247.585189476904,252.308782538783,250.134342473545,248.691970881087,247.74065104004,249.977784932322,248.002724111435,245.700114194875,249.447160407805,248.778802573377,249.143736654736,246.716629567988
14,14,130,0,0,0,0,0,0,0,0,248.644885132321,245.537923687361,247.606650941804,252.815890097222,247.032031552804,251.182484164313,251.259624336444,250.970952752645,253.76602877894,250.608012923487,250.17858931583,251.107116363789,248.939661817633,249.691340339418,251.953119712966,252.133127327526,250.483138224108,251.273965676299,248.541933411812,252.520009020706,248.507138197406,246.220998796052,250.571459781412,247.837150686057,250.057738052164,248.264259576116,248.238095264954,248.729455855291,248.423435693346,251.283801075708,251.217927597811,251.31040561843
15,15,140,0,0,0,0,0,0,0,0,249.428470184848,245.63832049878,250.639763469961,251.651612226762,248.490817224795,248.869009678344,248.689866744138,246.354279402325,249.989164157235,247.382711963256,252.906495491605,249.716257812854,251.236357987343,248.274577915168,248.2132608362,252.243572486292,252.828694541021,249.52514682822,247.860302543338,253.828966234214,247.380170208534,251.907761492529,250.794155214179,251.737948739445,250.372963807653,250.279568204551,250.304853071818,252.464910016308,248.478636933079,249.366378709019,247.903294207378,251.603198593126
16,16,150,0,0,0,0,0,0,0,0,251.79253849357,250.812764940465,251.162672689432,247.259480445291,250.771229067011,250.279582213187,248.066852283927,252.766938201642,250.392770598922,248.093624803707,250.944378503144,248.974291327727,251.214332458637,247.98634019026,251.346182821616,248.234823326466,252.229104052751,249.946848652849,251.826047124951,247.954985120485,249.339661491817,248.616205677784,250.399311481305,245.761548598145,251.200681460644,250.362112848921,250.675838427957,248.305631287168,246.178180126074,249.508970089979,247.134751521454,249.533497016714
17,17,160,0,0,0,0,0,0,0,0,252.520038631566,250.211940039623,248.889588154489,250.499615930639,246.231207727143,248.453932959425,245.967435160182,249.669229933596,246.880965098267,251.847356893312,250.693486370898,245.116027590779,242.874511823812,249.698064805424,249.122743693389,250.130470259339,248.816521540819,250.377266583468,254.81923473613,248.405155754916,250.740661286602,250.870753777461,251.865716711346,246.863577341967,246.503546757784,253.413987060955,252.236798433398,247.81548882946,247.56536935522,250.366631898984,248.936982486359,248.394822129871
18,18,170,0,0,0,0,0,0,0,0,247.082924645081,249.218653237509,249.373716098346,253.857043026379,248.192308590532,252.025644717164,248.742865863295,249.315037265637,246.906975203698,252.278599564091,248.797731976729,250.628957597991,251.774683470954,247.049435243826,251.333119649758,252.20286763171,246.62120115112,250.93606962139,249.563211143288,252.005671049629,246.626554849686,247.337852286514,249.813376111622,252.622490588363,249.809882855698,252.688418877208,250.482371420525,250.268234975097,249.625833409654,250.582827724402,252.444085988716,251.348456810688
19,19,180,0,0,0,0,0,0,0,0,246.350386278347,250.684774540798,246.305572033277,247.49262859245,248.222006659605,254.120366201076,252.707191626593,251.013708197759,248.199988744615,247.939394336331,250.195360950126,252.146153590389,250.365078801711,251.382336908843,256.500500528354,254.345689553478,249.976348159056,253.354016363887,248.555361071839,245.504053144388,251.807737692248,250.630266280045,250.623481611524,248.067414657756,246.709194423417,255.735042080335,250.291918597239,250.767390531304,248.706050203634,244.618165686172,251.877514110732,253.093972616013
20,20,190,0,0,0,0,0,0,0,0,254.831079386928,247.071418479463,247.439190473646,252.883838477433,247.409960344022,247.909024939217,251.354282759636,248.214117419258,249.447324709365,252.899581528494,245.616036637991,249.179098753498,250.2655279863,250.889899669021,244.288806430529,251.309972288727,246.021478931128,251.152291600008,251.544470069491,248.276423443344,252.45955785517,251.614154818763,251.105404595747,249.27509879239,245.624375208656,248.012061433155,252.925380072789,249.23729004648,249.034373347973,246.257481456711,248.790653926884,252.123240747031
