arm,run,event,site,onset,r0,rlag,tgt_peak,ach_peak,peak_ratio,ach_absmod,ach_max_raw,rmse
MPC,r1,1,P2,203,0.6424054413566411,0.8978489260269512,0.000393803889,0.001097202312,2.7861642371947224,0.001097202312,0.00112519,7.857753129496958e-05
MPC,r1,2,D2,423,0.39959040772687204,0.7663224574934534,0.000360804722,0.00111235192,3.0829749506438,0.00111235192,0.00114158,9.438451984952132e-05
MPC,r1,3,SHAM,643,0.23064693345049003,0.2610787410230821,3.8326943999999994e-05,0.0003286035,8.573694265840764,0.0003286035,0.000355127,6.442569051937536e-05
MPC,r1,4,D3,863,0.5600808433687772,0.834829798921552,0.000344954722,0.0009934008320000001,2.8798006481557894,0.0009934008320000001,0.00108405,7.595263778144492e-05
MPC,r1,5,LP,1083,0.4707490503298435,0.8942218297047992,0.0005547675,0.000908189076,1.637062509970393,0.000908189076,0.000982367,6.130090590587699e-05
MPC,r1,6,D1,1303,0.4121148122278984,0.8406406787597038,0.00033995777800000003,0.0009954932040000001,2.928284829535508,0.0009954932040000001,0.00102168,8.188233818172594e-05
MPC,r1,7,D1,1523,0.21321759550663308,0.5286499424255432,0.00033995777800000003,0.0005538151692000001,1.6290704465070367,0.0005538151692000001,0.00057428,7.720638384175115e-05
MPC,r1,8,D2,1743,0.46141992921432545,0.8129187707162938,0.000360804722,0.000807735832,2.2387063770190903,0.000807735832,0.000841685,5.6734727025194776e-05
MPC,r1,9,D3,1963,0.3361416637035907,0.6638883833418443,0.000344954722,0.000512821648,1.4866346662157013,0.000512821648,0.000597376,6.355180691269316e-05
MPC,r1,10,LP,2183,0.4506625473640168,0.8792613510010817,0.0005547675,0.001054115016,1.900102323946518,0.001054115016,0.00107799,6.91655710138453e-05
MPC,r1,11,SHAM,2403,-0.12017422586245513,-0.1156182231075769,3.8326943999999994e-05,0.0002883520092,7.523480327573209,0.0002883520092,0.000311533,5.611968797623037e-05
MPC,r1,12,P2,2623,0.39874950258148506,0.8575770299083836,0.000393803889,0.0008083176759999999,2.052589368918091,0.0008083176759999999,0.000831196,5.504659482292766e-05
MPC,r1,13,SHAM,2843,-0.2101259906016216,-0.21609197822182166,3.8326943999999994e-05,0.000274106424,7.151794413872394,0.000274106424,0.000298663,6.905965449608869e-05
MPC,r1,14,D1,3063,0.2742573343886184,0.8446055734987712,0.00033995777800000003,0.0006536498759999999,1.9227384054733994,0.0006536498759999999,0.000683795,3.590144933496859e-05
MPC,r1,15,P2,3283,0.22084353253412087,0.5668099546163758,0.000393803889,0.0008887208759999999,2.256760029101693,0.0008887208759999999,0.000910528,9.190655397260811e-05
MPC,r1,16,LP,3503,0.08549912246137126,0.2576653236895266,0.0005547675,0.00023494175799999997,0.42349589332468096,0.00023494175799999997,0.000256492,7.736430562463049e-05
MPC,r1,17,D2,3723,0.4880790633473262,0.7528084094949551,0.000360804722,0.0009298102835999999,2.5770457726991722,0.0009298102835999999,0.000995029,8.216729467640238e-05
MPC,r1,18,D3,3943,0.4066152095348733,0.7152255448360074,0.000344954722,0.000675614372,1.9585595700295992,0.000675614372,0.000704374,6.214799927711304e-05
MPC,r1,19,D2,4163,0.4460634650800749,0.7580750944824175,0.000360804722,0.000849678752,2.3549546338808724,0.000849678752,0.000922361,6.541154780144292e-05
MPC,r1,20,SHAM,4383,-0.15699759675491687,-0.15153129282049763,3.8326943999999994e-05,0.000178699752,4.662509799894299,0.000178699752,0.000201292,4.514730509146502e-05
MPC,r1,21,LP,4603,0.4850760273593987,0.9351387321463854,0.0005547675,0.000930294644,1.6769090546940837,0.000930294644,0.0009908,5.075043105939754e-05
MPC,r1,22,D1,4823,0.14584186857059173,0.3438569492979363,0.00033995777800000003,0.000527273604,1.5509973241441761,0.000527273604,0.000551358,8.716579282865452e-05
MPC,r1,23,P2,5043,0.4297769772335822,0.8392804680667224,0.000393803889,0.0010759113320000001,2.732099306413909,0.0010759113320000001,0.00111982,6.858935079136056e-05
MPC,r1,24,D3,5263,0.5297274504318539,0.3659312138097858,0.000344954722,0.0006957944760000001,2.017060302772142,0.0006957944760000001,0.000759084,8.302381621822362e-05
MPC,r1,25,SHAM,5483,-0.0026626353580059487,-0.005913984167181064,3.8326943999999994e-05,0.00013028394,3.3992780640167926,0.00013028394,0.000229161,7.379578897183118e-05
MPC,r1,26,P2,5703,0.36283192801886777,0.8075692697601581,0.000393803889,0.0009400638200000001,2.387136964002913,0.0009400638200000001,0.000960979,8.378134158482647e-05
MPC,r1,27,LP,5923,0.3808289311258636,0.6837508181102494,0.0005547675,0.0010564269560000001,1.904269727408329,0.0010564269560000001,0.0010771,7.147432266572308e-05
MPC,r1,28,D1,6143,0.2663421170255172,0.4630299106680461,0.00033995777800000003,0.00047257294800000005,1.3900930603211554,0.00047257294800000005,0.0004951,5.630206902135628e-05
MPC,r1,29,D2,6363,0.43089106978889197,0.8009924931375031,0.000360804722,0.000887263972,2.4591251663275076,0.000887263972,0.000911721,7.250443758846383e-05
MPC,r1,30,D3,6583,0.5062435212141236,0.8157145600678856,0.000344954722,0.000671150352,1.94561868325432,0.000671150352,0.000779919,8.185605415325886e-05
MPC,r1,31,D1,6803,0.19175380414044746,0.5179312750425112,0.00033995777800000003,0.00044934313200000007,1.3217615865226653,0.00044934313200000007,0.000542749,6.163686414641899e-05
MPC,r1,32,LP,7023,0.46735749156970313,0.9109811561893844,0.0005547675,0.00107727476,1.941849080921287,0.00107727476,0.00109952,6.997352162113186e-05
MPC,r1,33,D3,7243,0.25812994458042554,0.631135248749977,0.000344954722,0.001068634084,3.097896668305355,0.001068634084,0.00109241,0.00010109373425029905
MPC,r1,34,P2,7463,0.411456114947685,0.7563780575994925,0.000393803889,0.0005367963280000001,1.3631057056422318,0.0005367963280000001,0.000573026,4.404164933898698e-05
MPC,r1,35,D2,7683,0.49548710031252213,0.890877954383442,0.000360804722,0.0010088536479999999,2.796120966509967,0.0010088536479999999,0.00104299,7.273790631150346e-05
MPC,r1,36,SHAM,7903,-0.1150052110973352,-0.12038592608259564,3.8326943999999994e-05,0.000146292436,3.816960621749546,0.000146292436,0.00017126,3.521376979842956e-05
MPC,r1,37,SHAM,8123,0.007960416324704714,-0.010627702037674398,3.8326943999999994e-05,0.00018988576000000001,4.954367350551092,0.00018988576000000001,0.000278415,6.54229582939024e-05
MPC,r1,38,D2,8343,0.6119177359254967,0.8966097053160067,0.000360804722,0.000967388984,2.6811982355375052,0.000967388984,0.00102873,7.393809018510995e-05
MPC,r1,39,D1,8563,0.21958682138669405,0.6017794452513472,0.00033995777800000003,0.000673768604,1.9819184840065638,0.000673768604,0.000706933,9.208406632372281e-05
MPC,r1,40,D3,8783,0.49768847409444744,0.83359591550008,0.000344954722,0.00060671526,1.7588257858374816,0.00060671526,0.000643663,4.301109048213295e-05
MPC,r1,41,LP,9003,0.4399409477504246,0.7386768874220797,0.0005547675,0.0009521168356,1.7162447973250055,0.0009521168356,0.00097452,8.970502282676436e-05
MPC,r1,42,P2,9223,0.19030311734128857,0.4603128235533566,0.000393803889,0.0007250234,1.8410772982488246,0.0007250234,0.000827691,9.737444265573662e-05
MPC,r1,43,SHAM,9443,-0.17224656542000236,-0.17508183420944484,3.8326943999999994e-05,0.00031506091199999997,8.220350466763017,0.00031506091199999997,0.000349978,5.625134865934563e-05
MPC,r1,44,LP,9663,0.5248145385888113,0.9281420725600398,0.0005547675,0.0010859610528000001,1.9575066181778855,0.0010859610528000001,0.00110968,5.6115601684528414e-05
MPC,r1,45,D1,9883,0.2534333161980319,0.8593140621778966,0.00033995777800000003,0.001072579916,3.1550386118831493,0.001072579916,0.00109904,8.720277833584037e-05
MPC,r1,46,D3,10103,0.46914621157482833,0.740651052427603,0.000344954722,0.000911547486,2.6425134310815435,0.000911547486,0.000933238,7.839722562896086e-05
MPC,r1,47,P2,10323,0.5249636804359186,0.6665806375105262,0.000393803889,0.000771162792,1.9582406714119576,0.000771162792,0.000874372,8.105335425646558e-05
MPC,r1,48,D2,10543,0.313477697220698,0.6420111833478557,0.000360804722,0.001090943324,3.0236392637899017,0.001090943324,0.00111494,0.0001081491329987623
MPC,r1,49,D3,10763,0.4647183913756625,0.835935392263086,0.000344954722,0.0009023023076,2.6157122951342,0.0009023023076,0.00093222,5.555576066263532e-05
MPC,r1,50,SHAM,10983,-0.11163369306658008,-0.11195030684566488,3.8326943999999994e-05,0.000216276388,5.642933284740887,0.000216276388,0.000242229,3.783272688983263e-05
MPC,r1,51,D1,11203,0.41805679525535283,0.9293401010654256,0.00033995777800000003,0.0009237367439999999,2.717210206027408,0.0009237367439999999,0.000961553,6.169524554959594e-05
MPC,r1,52,D2,11423,0.3970083425025636,0.7882266199712809,0.000360804722,0.0009926557516,2.7512271627088074,0.0009926557516,0.00101467,0.00010244224121624478
MPC,r1,53,P2,11643,0.39057302289615353,0.7061516562729232,0.000393803889,0.001138061152,2.8899185198244703,0.001138061152,0.00124259,9.999444910719351e-05
MPC,r1,54,LP,11863,0.47941278092263423,0.8699690789386341,0.0005547675,0.0009434905199999999,1.700695372385729,0.0009434905199999999,0.000966972,5.671540471042698e-05
MPC,r1,55,SHAM,12083,-0.1850798665317304,-0.18973309340641342,3.8326943999999994e-05,0.00016265472399999999,4.243874074593581,0.00016265472399999999,0.000186258,4.0062069277377275e-05
MPC,r1,56,P2,12303,0.41010581156759435,0.8713354635663432,0.000393803889,0.001093233368,2.7760857587671004,0.001093233368,0.00111623,7.520925519195018e-05
MPC,r1,57,LP,12523,0.39674559379124674,0.6393807836504435,0.0005547675,0.00092019012,1.6586950749638363,0.00092019012,0.000961928,6.935102574180096e-05
MPC,r1,58,D2,12743,0.44405803481040945,0.8503985078319395,0.000360804722,0.001030688908,2.8566391877764836,0.001030688908,0.00106113,7.939774376333322e-05
