tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32
1,1,53956.8265,0,0,0,0,0,0,0,0,4.49477957e-05,2.19527356e-05,3.21255793e-05,4.34940703e-05,2.72230409e-05,0.000160239651,8.74108373e-05,0.000142092977,8.52641169e-05,1.35301634e-05,4.68008548e-05,8.05591844e-06,3.36095491e-06,1.78976479e-05,6.67769273e-05,1.74528359e-05,5.53927384e-05,3.85005405e-05,5.16687141e-05,0.000134592949,5.01976319e-05,7.42096599e-05,6.27661721e-05,3.14227254e-05,2.32837046e-05,9.41630351e-05,0.000118226038,3.03403867e-05,1.69308842e-05,2.94943929e-05,5.76192042e-06,2.8522747e-05
2,2,53965.471,0,0,0,0,0,0,0,0,2.69488155e-05,2.99313106e-05,1.38715641e-05,3.27105154e-05,2.6881231e-05,2.0682628e-05,6.73558461e-05,2.49696132e-05,1.63983277e-05,2.96409235e-05,6.93597849e-06,2.26179563e-05,6.38085885e-06,2.63446091e-05,4.19131757e-05,1.492105e-05,3.73270195e-05,1.98536563e-05,2.29299494e-05,3.21210646e-05,3.31613701e-05,1.98534981e-05,0.000103268321,3.12653501e-05,8.58946532e-06,8.02573413e-06,7.73771681e-05,2.02638203e-05,1.34840002e-05,7.62709351e-06,1.4146337e-05,8.00159251e-06
3,3,53975.5602,0,0,0,0,0,0,0,0,4.02490186e-05,2.28485351e-05,0.000119793971,1.78816081e-05,0.000127416119,0.000204363881,0.000200135139,0.000232168532,7.95358283e-05,8.76834238e-05,6.41729785e-05,7.85268203e-05,7.87812023e-05,0.000105281979,3.49627335e-05,0.000106518259,5.14735257e-05,0.000168838509,8.14187079e-05,9.04107437e-05,7.74595173e-05,0.000200261391,0.000131142049,5.50864534e-05,9.54639836e-05,6.17117039e-05,1.4752206e-05,0.000108494154,9.32303083e-05,7.26887884e-05,6.05449968e-05,8.8084802e-05
4,4,53986.4421,0,0,0,0,0,0,0,0,1.28366646e-05,3.26795198e-05,3.95710558e-05,4.87944199e-05,2.16508888e-05,6.53656389e-05,3.41314153e-05,4.72892571e-05,2.07090507e-05,1.24056087e-05,5.11891085e-05,1.54002537e-05,4.54450965e-05,6.26882029e-05,9.36020569e-06,7.73680877e-05,4.06052859e-05,2.66766529e-05,7.39315146e-05,2.19311441e-05,1.62816286e-05,4.74741682e-05,3.57887329e-05,1.27332059e-05,6.09654453e-05,3.46909619e-05,3.72494869e-05,1.0149115e-05,6.4826374e-05,5.62049681e-05,2.66022125e-05,3.14653225e-05
5,5,53995.9509,0,0,0,0,0,0,0,0,1.15357379e-05,1.59456649e-05,2.2927281e-05,1.7391003e-05,1.25304505e-05,4.51794804e-05,1.52941175e-05,3.27113521e-05,3.13087949e-05,1.60870313e-05,6.613812e-05,2.35953758e-05,5.67870011e-05,7.0662536e-05,3.30836519e-05,9.81428675e-05,2.10648141e-05,1.35371165e-05,2.98305004e-05,2.74780796e-05,1.85497192e-05,3.03914931e-05,1.93025135e-05,1.14854065e-05,8.53036909e-05,4.78550501e-05,1.78771334e-05,1.90465507e-05,8.07813121e-05,7.13821646e-05,3.68693982e-05,3.71532515e-05
6,6,54006.0974,0,0,0,0,0,0,0,0,2.29569614e-05,2.69415978e-05,2.97249935e-05,1.5541289e-05,2.32255807e-05,1.18555963e-05,1.52778921e-05,7.74760792e-06,5.43579263e-05,2.88563351e-05,8.20178684e-05,4.29671163e-05,7.17488874e-05,8.98396538e-05,4.75987908e-05,0.000110115558,2.18760506e-05,1.31008528e-05,1.43501065e-05,4.94358574e-05,2.8458162e-05,6.65277639e-06,0.000302467903,2.66431325e-05,9.64028586e-05,6.59995858e-05,1.21895919e-05,3.13066048e-05,9.08019065e-05,8.340981e-05,4.90424973e-05,5.58783067e-05
7,7,54015.6045,0,0,0,0,0,0,0,0,9.78861863e-06,6.87162674e-06,2.37785753e-05,1.03907141e-05,3.48567628e-05,3.48103931e-05,3.98605225e-05,4.96598223e-05,1.8409306e-05,4.92671325e-06,4.29009815e-05,1.10511901e-05,3.89982342e-05,5.16034343e-05,2.59727331e-05,6.48910136e-05,8.63660534e-06,3.20220533e-05,4.57490205e-05,1.0541864e-05,7.7697523e-06,5.12818006e-05,0.000363494968,1.17374011e-05,6.28086927e-05,3.02828885e-05,6.39418067e-06,3.50197729e-06,4.78795519e-05,4.44684774e-05,2.22584549e-05,2.222072e-05
8,8,54025.6306,0,0,0,0,0,0,0,0,1.59988831e-05,1.07552551e-05,1.73480621e-05,2.59097778e-05,2.01048369e-05,4.21016302e-05,6.02100517e-05,3.45013068e-05,1.90444334e-05,1.17928867e-05,3.94862182e-05,1.40451539e-05,3.80755664e-05,4.64709956e-05,2.72765064e-05,5.04115051e-05,1.15987505e-05,2.33474602e-05,5.10582649e-05,1.1078092e-05,1.19162614e-05,4.73618784e-05,0.000114758965,1.45012627e-05,5.22592818e-05,3.49842376e-05,1.82810109e-05,1.02004678e-05,3.94916933e-05,3.85881758e-05,1.76877256e-05,2.50441626e-05
9,9,54035.1549,0,0,0,0,0,0,0,0,1.8829498e-05,4.50305743e-05,5.96177306e-05,8.03889998e-05,4.50401931e-05,8.8662302e-05,8.48251657e-05,7.75511799e-05,1.48597574e-05,2.1748825e-05,2.31040522e-05,1.39209124e-05,1.43343314e-05,1.7482791e-05,2.02066258e-05,2.08574093e-05,4.94499473e-05,5.15193133e-05,0.000101110709,1.34477496e-05,4.0719613e-05,8.4350504e-05,2.11043644e-05,1.46426737e-05,1.95278262e-05,3.01241544e-05,3.2754735e-05,2.52963564e-05,1.51933127e-05,1.88790764e-05,1.29684167e-05,1.4719827e-05
10,10,54045.2404,0,0,0,0,0,0,0,0,2.21481532e-05,2.71771314e-05,3.90917558e-05,6.50578222e-05,2.41534726e-05,8.15995372e-05,3.63643812e-05,6.46400222e-05,3.3767421e-05,2.48135129e-05,4.06000872e-05,2.49158784e-05,2.35845455e-05,3.00348183e-05,2.21338196e-05,3.39271355e-05,2.93204721e-05,2.93224821e-05,8.68718344e-05,3.67427856e-05,2.22739563e-05,7.61469055e-05,7.01862082e-05,2.66428069e-05,3.0715204e-05,4.74993867e-05,1.98145735e-05,2.34550025e-05,3.07025912e-05,3.37772835e-05,1.96746314e-05,2.76825212e-05
