tick,r1
1,0.00012
2,0.00012
3,0.00012
4,0.00012
5,0.00012
6,0.00012
7,0.00012
8,0.00012
9,0.00012
10,0.00012
11,0.00012
12,0.00012
13,0.00012
14,0.00012
15,0.00012
16,0.00012
17,0.00012
18,0.00012
19,0.00012
20,0.00012
21,0.00012
22,0.00012
23,0.00012
24,0.00012
25,0.00012
26,0.00012
27,0.00012
28,0.00012
29,0.00012
30,0.00012
31,0.00012
32,0.00012
33,0.00012
34,0.00012
35,0.00012
36,0.00012
37,0.00012
38,0.00012
39,0.00012
40,0.00012
41,0.00012
42,0.00012
43,0.00012
44,0.00012
45,0.00012
46,0.00012
47,0.00012
48,0.00012
49,0.00012
50,0.00012
51,0.00012
52,0.00012
53,0.00012
54,0.00012
55,0.00012
56,0.00012
57,0.00012
58,0.00012
59,0.00012
60,0.00012
61,0.00012
62,0.00012
63,0.00012
64,0.00012
65,0.00012
66,0.00012
67,0.00012
68,0.00012
69,0.00012
70,0.00012
71,0.00012
72,0.00012
73,0.00012
74,0.00012
75,0.00012
76,0.00012
77,0.00012
78,0.00012
79,0.00012
80,0.00012
81,0.00012
82,0.00012
83,0.00012
84,0.00012
85,0.00012
86,0.00012
87,0.00012
88,0.00012
89,0.00012
90,0.00012
91,0.00012
92,0.00012
93,0.00012
94,0.00012
95,0.00012
96,0.00012
97,0.00012
98,0.00012
99,0.00012
100,0.00012
101,0.00012
102,0.00012
103,0.00012
104,0.00012
105,0.00012
106,0.00012
107,0.00012
108,0.00012
109,0.00012
110,0.00012
111,0.00012
112,0.00012
113,0.00012
114,0.00012
115,0.00012
116,0.00012
117,0.00012
118,0.00012
119,0.00012
120,0.00012
121,0.00012
122,0.00012
123,0.00012
124,0.00012
125,0.00012
126,0.00012
127,0.00012
128,0.00012
129,0.00012
130,0.00012
131,0.00012
132,0.00012
133,0.00012
134,0.00012
135,0.00012
136,0.00012
137,0.00012
138,0.00012
139,0.00012
140,0.00012
141,0.00012
142,0.00012
143,0.00012
144,0.00012
145,0.00012
146,0.00012
147,0.00012
148,0.00012
149,0.00012
150,0.00012
151,0.00012
152,0.00012
153,0.00012
154,0.00012
155,0.00012
156,0.00012
157,0.00012
158,0.00012
159,0.00012
160,0.00012
161,0.00012
162,0.00012
163,0.00012
164,0.00012
165,0.00012
166,0.00012
167,0.00012
168,0.00012
169,0.00012
170,0.00012
171,0.00012
172,0.00012
173,0.00012
174,0.00012
175,0.00012
176,0.00012
177,0.00012
178,0.00012
179,0.00012
180,0.00012
181,0.00012
182,0.00012
183,0.00012
184,0.00012
185,0.00012
186,0.00012
187,0.00012
188,0.00012
189,0.00012
190,0.00012
191,0.00012
192,0.00012
193,0.00012
194,0.00012
195,0.00012
196,0.00012
197,0.00012
198,0.00012
199,0.00012
200,0.00012
201,0.000120967778
202,0.000162752963
203,0.000687150556
204,0.000625392778
205,0.000426815
206,0.000303851667
207,0.000220130556
208,0.000155750556
209,0.000127309074
210,0.000131926111
211,0.000140355
212,0.000135381667
213,0.000133040556
214,0.000138107222
215,0.000142255
216,0.000155327222
217,0.000158785
218,0.000160853889
219,0.000156297222
220,0.000152851667
221,0.00012
222,0.00012
223,0.00012
224,0.00012
225,0.00012
226,0.00012
227,0.00012
228,0.00012
229,0.00012
230,0.00012
231,0.00012
232,0.00012
233,0.00012
234,0.00012
235,0.00012
236,0.00012
237,0.00012
238,0.00012
239,0.00012
240,0.00012
241,0.00012
242,0.00012
243,0.00012
244,0.00012
245,0.00012
246,0.00012
247,0.00012
248,0.00012
249,0.00012
250,0.00012
251,0.00012
252,0.00012
253,0.00012
254,0.00012
255,0.00012
256,0.00012
257,0.00012
258,0.00012
259,0.00012
260,0.00012
261,0.00012
262,0.00012
263,0.00012
264,0.00012
265,0.00012
266,0.00012
267,0.00012
268,0.00012
269,0.00012
270,0.00012
271,0.00012
272,0.00012
273,0.00012
274,0.00012
275,0.00012
276,0.00012
277,0.00012
278,0.00012
279,0.00012
280,0.00012
281,0.00012
282,0.00012
283,0.00012
284,0.00012
285,0.00012
286,0.00012
287,0.00012
288,0.00012
289,0.00012
290,0.00012
291,0.00012
292,0.00012
293,0.00012
294,0.00012
295,0.00012
296,0.00012
297,0.00012
298,0.00012
299,0.00012
300,0.00012
301,0.00012
302,0.00012
303,0.00012
304,0.00012
305,0.00012
306,0.00012
307,0.00012
308,0.00012
309,0.00012
310,0.00012
311,0.00012
312,0.00012
313,0.00012
314,0.00012
315,0.00012
316,0.00012
317,0.00012
318,0.00012
319,0.00012
320,0.00012
321,0.00012
322,0.00012
323,0.00012
324,0.00012
325,0.00012
326,0.00012
327,0.00012
328,0.00012
329,0.00012
330,0.00012
331,0.00012
332,0.00012
333,0.00012
334,0.00012
335,0.00012
336,0.00012
337,0.00012
338,0.00012
339,0.00012
340,0.00012
341,0.00012
342,0.00012
343,0.00012
344,0.00012
345,0.00012
346,0.00012
347,0.00012
348,0.00012
349,0.00012
350,0.00012
351,0.00012
352,0.00012
353,0.00012
354,0.00012
355,0.00012
356,0.00012
357,0.00012
358,0.00012
359,0.00012
360,0.00012
361,0.00012
362,0.00012
363,0.00012
364,0.00012
365,0.00012
366,0.00012
367,0.00012
368,0.00012
369,0.00012
370,0.00012
371,0.00012
372,0.00012
373,0.00012
374,0.00012
375,0.00012
376,0.00012
377,0.00012
378,0.00012
379,0.00012
380,0.00012
381,0.00012
382,0.00012
383,0.00012
384,0.00012
385,0.00012
386,0.00012
387,0.00012
388,0.00012
389,0.00012
390,0.00012
391,0.00012
392,0.00012
393,0.00012
394,0.00012
395,0.00012
396,0.00012
397,0.00012
398,0.00012
399,0.00012
400,0.00012
401,0.00012
402,0.00012
403,0.00012
404,0.00012
405,0.00012
406,0.00012
407,0.00012
408,0.00012
409,0.00012
410,0.00012
411,0.00012
412,0.00012
413,0.00012
414,0.00012
415,0.00012
416,0.00012
417,0.00012
418,0.00012
419,0.00012
420,0.00012
421,0.000120967778
422,0.000162752963
423,0.000687150556
424,0.000625392778
425,0.000426815
426,0.000303851667
427,0.000220130556
428,0.000155750556
429,0.000127309074
430,0.000131926111
431,0.000140355
432,0.000135381667
433,0.000133040556
434,0.000138107222
435,0.000142255
436,0.000155327222
437,0.000158785
438,0.000160853889
439,0.000156297222
440,0.000152851667
441,0.00012
442,0.00012
443,0.00012
444,0.00012
445,0.00012
446,0.00012
447,0.00012
448,0.00012
449,0.00012
450,0.00012
451,0.00012
452,0.00012
453,0.00012
454,0.00012
455,0.00012
456,0.00012
457,0.00012
458,0.00012
459,0.00012
460,0.00012
461,0.00012
462,0.00012
463,0.00012
464,0.00012
465,0.00012
466,0.00012
467,0.00012
468,0.00012
469,0.00012
470,0.00012
471,0.00012
472,0.00012
473,0.00012
474,0.00012
475,0.00012
476,0.00012
477,0.00012
478,0.00012
479,0.00012
480,0.00012
481,0.00012
482,0.00012
483,0.00012
484,0.00012
485,0.00012
486,0.00012
487,0.00012
488,0.00012
489,0.00012
490,0.00012
491,0.00012
492,0.00012
493,0.00012
494,0.00012
495,0.00012
496,0.00012
497,0.00012
498,0.00012
499,0.00012
500,0.00012
501,0.00012
502,0.00012
503,0.00012
504,0.00012
505,0.00012
506,0.00012
507,0.00012
508,0.00012
509,0.00012
510,0.00012
511,0.00012
512,0.00012
513,0.00012
514,0.00012
515,0.00012
516,0.00012
517,0.00012
518,0.00012
519,0.00012
520,0.00012
521,0.00012
522,0.00012
523,0.00012
524,0.00012
525,0.00012
526,0.00012
527,0.00012
528,0.00012
529,0.00012
530,0.00012
531,0.00012
532,0.00012
533,0.00012
534,0.00012
535,0.00012
536,0.00012
537,0.00012
538,0.00012
539,0.00012
540,0.00012
541,0.00012
542,0.00012
543,0.00012
544,0.00012
545,0.00012
546,0.00012
547,0.00012
548,0.00012
549,0.00012
550,0.00012
551,0.00012
552,0.00012
553,0.00012
554,0.00012
555,0.00012
556,0.00012
557,0.00012
558,0.00012
559,0.00012
560,0.00012
561,0.00012
562,0.00012
563,0.00012
564,0.00012
565,0.00012
566,0.00012
567,0.00012
568,0.00012
569,0.00012
570,0.00012
571,0.00012
572,0.00012
573,0.00012
574,0.00012
575,0.00012
576,0.00012
577,0.00012
578,0.00012
579,0.00012
580,0.00012
581,0.00012
582,0.00012
583,0.00012
584,0.00012
585,0.00012
586,0.00012
587,0.00012
588,0.00012
589,0.00012
590,0.00012
591,0.00012
592,0.00012
593,0.00012
594,0.00012
595,0.00012
596,0.00012
597,0.00012
598,0.00012
599,0.00012
600,0.00012
601,0.00012
602,0.00012
603,0.00012
604,0.00012
605,0.00012
606,0.00012
607,0.00012
608,0.00012
609,0.00012
610,0.00012
611,0.00012
612,0.00012
613,0.00012
614,0.00012
615,0.00012
616,0.00012
617,0.00012
618,0.00012
619,0.00012
620,0.00012
621,0.00012
622,0.00012
623,0.00012
624,0.00012
625,0.00012
626,0.00012
627,0.00012
628,0.00012
629,0.00012
630,0.00012
631,0.00012
632,0.00012
633,0.00012
634,0.00012
635,0.00012
636,0.00012
637,0.00012
638,0.00012
639,0.00012
640,0.00012
641,0.000120967778
642,0.000162752963
643,0.000687150556
644,0.000625392778
645,0.000426815
646,0.000303851667
647,0.000220130556
648,0.000155750556
649,0.000127309074
650,0.000131926111
651,0.000140355
652,0.000135381667
653,0.000133040556
654,0.000138107222
655,0.000142255
656,0.000155327222
657,0.000158785
658,0.000160853889
659,0.000156297222
660,0.000152851667
661,0.00012
662,0.00012
663,0.00012
664,0.00012
665,0.00012
666,0.00012
667,0.00012
668,0.00012
669,0.00012
670,0.00012
671,0.00012
672,0.00012
673,0.00012
674,0.00012
675,0.00012
676,0.00012
677,0.00012
678,0.00012
679,0.00012
680,0.00012
681,0.00012
682,0.00012
683,0.00012
684,0.00012
685,0.00012
686,0.00012
687,0.00012
688,0.00012
689,0.00012
690,0.00012
691,0.00012
692,0.00012
693,0.00012
694,0.00012
695,0.00012
696,0.00012
697,0.00012
698,0.00012
699,0.00012
700,0.00012
701,0.00012
702,0.00012
703,0.00012
704,0.00012
705,0.00012
706,0.00012
707,0.00012
708,0.00012
709,0.00012
710,0.00012
711,0.00012
712,0.00012
713,0.00012
714,0.00012
715,0.00012
716,0.00012
717,0.00012
718,0.00012
719,0.00012
720,0.00012
721,0.00012
722,0.00012
723,0.00012
724,0.00012
725,0.00012
726,0.00012
727,0.00012
728,0.00012
729,0.00012
730,0.00012
731,0.00012
732,0.00012
733,0.00012
734,0.00012
735,0.00012
736,0.00012
737,0.00012
738,0.00012
739,0.00012
740,0.00012
741,0.00012
742,0.00012
743,0.00012
744,0.00012
745,0.00012
746,0.00012
747,0.00012
748,0.00012
749,0.00012
750,0.00012
751,0.00012
752,0.00012
753,0.00012
754,0.00012
755,0.00012
756,0.00012
757,0.00012
758,0.00012
759,0.00012
760,0.00012
761,0.00012
762,0.00012
763,0.00012
764,0.00012
765,0.00012
766,0.00012
767,0.00012
768,0.00012
769,0.00012
770,0.00012
771,0.00012
772,0.00012
773,0.00012
774,0.00012
775,0.00012
776,0.00012
777,0.00012
778,0.00012
779,0.00012
780,0.00012
781,0.00012
782,0.00012
783,0.00012
784,0.00012
785,0.00012
786,0.00012
787,0.00012
788,0.00012
789,0.00012
790,0.00012
791,0.00012
792,0.00012
793,0.00012
794,0.00012
795,0.00012
796,0.00012
797,0.00012
798,0.00012
799,0.00012
800,0.00012
801,0.00012
802,0.00012
803,0.00012
804,0.00012
805,0.00012
806,0.00012
807,0.00012
808,0.00012
809,0.00012
810,0.00012
811,0.00012
812,0.00012
813,0.00012
814,0.00012
815,0.00012
816,0.00012
817,0.00012
818,0.00012
819,0.00012
820,0.00012
821,0.00012
822,0.00012
823,0.00012
824,0.00012
825,0.00012
826,0.00012
827,0.00012
828,0.00012
829,0.00012
830,0.00012
831,0.00012
832,0.00012
833,0.00012
834,0.00012
835,0.00012
836,0.00012
837,0.00012
838,0.00012
839,0.00012
840,0.00012
841,0.00012
842,0.00012
843,0.00012
844,0.00012
845,0.00012
846,0.00012
847,0.00012
848,0.00012
849,0.00012
850,0.00012
851,0.00012
852,0.00012
853,0.00012
854,0.00012
855,0.00012
856,0.00012
857,0.00012
858,0.00012
859,0.00012
860,0.00012
861,0.000120967778
862,0.000162752963
863,0.000687150556
864,0.000625392778
865,0.000426815
866,0.000303851667
867,0.000220130556
868,0.000155750556
869,0.000127309074
870,0.000131926111
871,0.000140355
872,0.000135381667
873,0.000133040556
874,0.000138107222
875,0.000142255
876,0.000155327222
877,0.000158785
878,0.000160853889
879,0.000156297222
880,0.000152851667
881,0.00012
882,0.00012
883,0.00012
884,0.00012
885,0.00012
886,0.00012
887,0.00012
888,0.00012
889,0.00012
890,0.00012
891,0.00012
892,0.00012
893,0.00012
894,0.00012
895,0.00012
896,0.00012
897,0.00012
898,0.00012
899,0.00012
900,0.00012
901,0.00012
902,0.00012
903,0.00012
904,0.00012
905,0.00012
906,0.00012
907,0.00012
908,0.00012
909,0.00012
910,0.00012
911,0.00012
912,0.00012
913,0.00012
914,0.00012
915,0.00012
916,0.00012
917,0.00012
918,0.00012
919,0.00012
920,0.00012
921,0.00012
922,0.00012
923,0.00012
924,0.00012
925,0.00012
926,0.00012
927,0.00012
928,0.00012
929,0.00012
930,0.00012
931,0.00012
932,0.00012
933,0.00012
934,0.00012
935,0.00012
936,0.00012
937,0.00012
938,0.00012
939,0.00012
940,0.00012
941,0.00012
942,0.00012
943,0.00012
944,0.00012
945,0.00012
946,0.00012
947,0.00012
948,0.00012
949,0.00012
950,0.00012
951,0.00012
952,0.00012
953,0.00012
954,0.00012
955,0.00012
956,0.00012
957,0.00012
958,0.00012
959,0.00012
960,0.00012
961,0.00012
962,0.00012
963,0.00012
964,0.00012
965,0.00012
966,0.00012
967,0.00012
968,0.00012
969,0.00012
970,0.00012
971,0.00012
972,0.00012
973,0.00012
974,0.00012
975,0.00012
976,0.00012
977,0.00012
978,0.00012
979,0.00012
980,0.00012
981,0.00012
982,0.00012
983,0.00012
984,0.00012
985,0.00012
986,0.00012
987,0.00012
988,0.00012
989,0.00012
990,0.00012
991,0.00012
992,0.00012
993,0.00012
994,0.00012
995,0.00012
996,0.00012
997,0.00012
998,0.00012
999,0.00012
1000,0.00012
1001,0.00012
1002,0.00012
1003,0.00012
1004,0.00012
1005,0.00012
1006,0.00012
1007,0.00012
1008,0.00012
1009,0.00012
1010,0.00012
1011,0.00012
1012,0.00012
1013,0.00012
1014,0.00012
1015,0.00012
1016,0.00012
1017,0.00012
1018,0.00012
1019,0.00012
1020,0.00012
1021,0.00012
1022,0.00012
1023,0.00012
1024,0.00012
1025,0.00012
1026,0.00012
1027,0.00012
1028,0.00012
1029,0.00012
1030,0.00012
1031,0.00012
1032,0.00012
1033,0.00012
1034,0.00012
1035,0.00012
1036,0.00012
1037,0.00012
1038,0.00012
1039,0.00012
1040,0.00012
1041,0.00012
1042,0.00012
1043,0.00012
1044,0.00012
1045,0.00012
1046,0.00012
1047,0.00012
1048,0.00012
1049,0.00012
1050,0.00012
1051,0.00012
1052,0.00012
1053,0.00012
1054,0.00012
1055,0.00012
1056,0.00012
1057,0.00012
1058,0.00012
1059,0.00012
1060,0.00012
1061,0.00012
1062,0.00012
1063,0.00012
1064,0.00012
1065,0.00012
1066,0.00012
1067,0.00012
1068,0.00012
1069,0.00012
1070,0.00012
1071,0.00012
1072,0.00012
1073,0.00012
1074,0.00012
1075,0.00012
1076,0.00012
1077,0.00012
1078,0.00012
1079,0.00012
1080,0.00012
1081,0.000120967778
1082,0.000162752963
1083,0.000687150556
1084,0.000625392778
1085,0.000426815
1086,0.000303851667
1087,0.000220130556
1088,0.000155750556
1089,0.000127309074
1090,0.000131926111
1091,0.000140355
1092,0.000135381667
1093,0.000133040556
1094,0.000138107222
1095,0.000142255
1096,0.000155327222
1097,0.000158785
1098,0.000160853889
1099,0.000156297222
1100,0.000152851667
1101,0.00012
1102,0.00012
1103,0.00012
1104,0.00012
1105,0.00012
1106,0.00012
1107,0.00012
1108,0.00012
1109,0.00012
1110,0.00012
1111,0.00012
1112,0.00012
1113,0.00012
1114,0.00012
1115,0.00012
1116,0.00012
1117,0.00012
1118,0.00012
1119,0.00012
1120,0.00012
1121,0.00012
1122,0.00012
1123,0.00012
1124,0.00012
1125,0.00012
1126,0.00012
1127,0.00012
1128,0.00012
1129,0.00012
1130,0.00012
1131,0.00012
1132,0.00012
1133,0.00012
1134,0.00012
1135,0.00012
1136,0.00012
1137,0.00012
1138,0.00012
1139,0.00012
1140,0.00012
1141,0.00012
1142,0.00012
1143,0.00012
1144,0.00012
1145,0.00012
1146,0.00012
1147,0.00012
1148,0.00012
1149,0.00012
1150,0.00012
1151,0.00012
1152,0.00012
1153,0.00012
1154,0.00012
1155,0.00012
1156,0.00012
1157,0.00012
1158,0.00012
1159,0.00012
1160,0.00012
1161,0.00012
1162,0.00012
1163,0.00012
1164,0.00012
1165,0.00012
1166,0.00012
1167,0.00012
1168,0.00012
1169,0.00012
1170,0.00012
1171,0.00012
1172,0.00012
1173,0.00012
1174,0.00012
1175,0.00012
1176,0.00012
1177,0.00012
1178,0.00012
1179,0.00012
1180,0.00012
1181,0.00012
1182,0.00012
1183,0.00012
1184,0.00012
1185,0.00012
1186,0.00012
1187,0.00012
1188,0.00012
1189,0.00012
1190,0.00012
1191,0.00012
1192,0.00012
1193,0.00012
1194,0.00012
1195,0.00012
1196,0.00012
1197,0.00012
1198,0.00012
1199,0.00012
1200,0.00012
1201,0.00012
1202,0.00012
1203,0.00012
1204,0.00012
1205,0.00012
1206,0.00012
1207,0.00012
1208,0.00012
1209,0.00012
1210,0.00012
1211,0.00012
1212,0.00012
1213,0.00012
1214,0.00012
1215,0.00012
1216,0.00012
1217,0.00012
1218,0.00012
1219,0.00012
1220,0.00012
1221,0.00012
1222,0.00012
1223,0.00012
1224,0.00012
1225,0.00012
1226,0.00012
1227,0.00012
1228,0.00012
1229,0.00012
1230,0.00012
1231,0.00012
1232,0.00012
1233,0.00012
1234,0.00012
1235,0.00012
1236,0.00012
1237,0.00012
1238,0.00012
1239,0.00012
1240,0.00012
1241,0.00012
1242,0.00012
1243,0.00012
1244,0.00012
1245,0.00012
1246,0.00012
1247,0.00012
1248,0.00012
1249,0.00012
1250,0.00012
1251,0.00012
1252,0.00012
1253,0.00012
1254,0.00012
1255,0.00012
1256,0.00012
1257,0.00012
1258,0.00012
1259,0.00012
1260,0.00012
1261,0.00012
1262,0.00012
1263,0.00012
1264,0.00012
1265,0.00012
1266,0.00012
1267,0.00012
1268,0.00012
1269,0.00012
1270,0.00012
1271,0.00012
1272,0.00012
1273,0.00012
1274,0.00012
1275,0.00012
1276,0.00012
1277,0.00012
1278,0.00012
1279,0.00012
1280,0.00012
1281,0.00012
1282,0.00012
1283,0.00012
1284,0.00012
1285,0.00012
1286,0.00012
1287,0.00012
1288,0.00012
1289,0.00012
1290,0.00012
1291,0.00012
1292,0.00012
1293,0.00012
1294,0.00012
1295,0.00012
1296,0.00012
1297,0.00012
1298,0.00012
1299,0.00012
1300,0.00012
1301,0.000120967778
1302,0.000162752963
1303,0.000687150556
1304,0.000625392778
1305,0.000426815
1306,0.000303851667
1307,0.000220130556
1308,0.000155750556
1309,0.000127309074
1310,0.000131926111
1311,0.000140355
1312,0.000135381667
1313,0.000133040556
1314,0.000138107222
1315,0.000142255
1316,0.000155327222
1317,0.000158785
1318,0.000160853889
1319,0.000156297222
1320,0.000152851667
1321,0.00012
1322,0.00012
1323,0.00012
1324,0.00012
1325,0.00012
1326,0.00012
1327,0.00012
1328,0.00012
1329,0.00012
1330,0.00012
1331,0.00012
1332,0.00012
1333,0.00012
1334,0.00012
1335,0.00012
1336,0.00012
1337,0.00012
1338,0.00012
1339,0.00012
1340,0.00012
1341,0.00012
1342,0.00012
1343,0.00012
1344,0.00012
1345,0.00012
1346,0.00012
1347,0.00012
1348,0.00012
1349,0.00012
1350,0.00012
1351,0.00012
1352,0.00012
1353,0.00012
1354,0.00012
1355,0.00012
1356,0.00012
1357,0.00012
1358,0.00012
1359,0.00012
1360,0.00012
1361,0.00012
1362,0.00012
1363,0.00012
