tick,u1,u2,u3,u4,u5,u6,u7,u8
1,30,0,0,30,0,0,0,0
2,30,0,0,30,0,0,0,0
3,30,0,0,30,0,0,0,0
4,30,0,0,30,0,0,0,0
5,30,0,0,30,0,0,0,0
6,30,0,0,10,0,0,0,0
7,30,0,0,10,0,0,0,0
8,30,0,0,10,0,0,0,0
9,30,0,0,10,0,0,0,0
10,30,0,0,10,0,0,0,0
11,30,0,0,10,0,0,0,0
12,30,0,0,10,0,0,0,0
13,30,0,0,10,0,0,0,0
14,30,0,0,10,0,0,0,0
15,30,0,0,10,0,0,0,0
16,30,0,0,10,0,0,0,0
17,30,0,0,10,0,0,0,0
18,30,0,0,10,0,0,0,0
19,30,0,0,10,0,0,0,0
20,30,0,0,10,0,0,0,0
21,30,0,0,30,0,0,0,0
22,30,0,0,30,0,0,0,0
23,30,0,0,30,0,0,0,0
24,30,0,0,30,0,0,0,0
25,30,0,0,30,0,0,0,0
26,30,0,0,10,0,0,0,0
27,30,0,0,10,0,0,0,0
28,30,0,0,10,0,0,0,0
29,30,0,0,10,0,0,0,0
30,30,0,0,10,0,0,0,0
31,30,0,0,30,0,0,0,0
32,30,0,0,30,0,0,0,0
33,30,0,0,30,0,0,0,0
34,30,0,0,30,0,0,0,0
35,30,0,0,30,0,0,0,0
36,30,0,0,10,0,0,0,0
37,30,0,0,10,0,0,0,0
38,30,0,0,10,0,0,0,0
39,30,0,0,10,0,0,0,0
40,30,0,0,10,0,0,0,0
41,30,0,0,10,0,0,0,0
42,30,0,0,10,0,0,0,0
43,30,0,0,10,0,0,0,0
44,30,0,0,10,0,0,0,0
45,30,0,0,10,0,0,0,0
46,10,0,0,10,0,0,0,0
47,10,0,0,10,0,0,0,0
48,10,0,0,10,0,0,0,0
49,10,0,0,10,0,0,0,0
50,10,0,0,10,0,0,0,0
51,10,0,0,10,0,0,0,0
52,10,0,0,10,0,0,0,0
53,10,0,0,10,0,0,0,0
54,10,0,0,10,0,0,0,0
55,10,0,0,10,0,0,0,0
56,10,0,0,30,0,0,0,0
57,10,0,0,30,0,0,0,0
58,10,0,0,30,0,0,0,0
59,10,0,0,30,0,0,0,0
60,10,0,0,30,0,0,0,0
61,10,0,0,10,0,0,0,0
62,10,0,0,10,0,0,0,0
63,10,0,0,10,0,0,0,0
64,10,0,0,10,0,0,0,0
65,10,0,0,10,0,0,0,0
66,10,0,0,30,0,0,0,0
67,10,0,0,30,0,0,0,0
68,10,0,0,30,0,0,0,0
69,10,0,0,30,0,0,0,0
70,10,0,0,30,0,0,0,0
71,30,0,0,10,0,0,0,0
72,30,0,0,10,0,0,0,0
73,30,0,0,10,0,0,0,0
74,30,0,0,10,0,0,0,0
75,30,0,0,10,0,0,0,0
