tick,u1,u2,u3,u4,u5,u6,u7,u8
1,30,0.0,0.0,30,0.0,0.0,0.0,0.0
2,30,0.0,0.0,30,0.0,0.0,0.0,0.0
3,30,0.0,0.0,30,0.0,0.0,0.0,0.0
4,30,0.0,0.0,30,0.0,0.0,0.0,0.0
5,30,0.0,0.0,30,0.0,0.0,0.0,0.0
6,30,0.0,0.0,10,0.0,0.0,0.0,0.0
7,30,0.0,0.0,10,0.0,0.0,0.0,0.0
8,30,0.0,0.0,10,0.0,0.0,0.0,0.0
9,30,0.0,0.0,10,0.0,0.0,0.0,0.0
10,30,0.0,0.0,10,0.0,0.0,0.0,0.0
11,30,0.0,0.0,10,0.0,0.0,0.0,0.0
12,30,0.0,0.0,10,0.0,0.0,0.0,0.0
13,30,0.0,0.0,10,0.0,0.0,0.0,0.0
14,30,0.0,0.0,10,0.0,0.0,0.0,0.0
15,30,0.0,0.0,10,0.0,0.0,0.0,0.0
16,30,0.0,0.0,10,0.0,0.0,0.0,0.0
17,30,0.0,0.0,10,0.0,0.0,0.0,0.0
18,30,0.0,0.0,10,0.0,0.0,0.0,0.0
19,30,0.0,0.0,10,0.0,0.0,0.0,0.0
20,30,0.0,0.0,10,0.0,0.0,0.0,0.0
21,30,0.0,0.0,30,0.0,0.0,0.0,0.0
22,30,0.0,0.0,30,0.0,0.0,0.0,0.0
23,30,0.0,0.0,30,0.0,0.0,0.0,0.0
24,30,0.0,0.0,30,0.0,0.0,0.0,0.0
25,30,0.0,0.0,30,0.0,0.0,0.0,0.0
26,30,0.0,0.0,10,0.0,0.0,0.0,0.0
27,30,0.0,0.0,10,0.0,0.0,0.0,0.0
28,30,0.0,0.0,10,0.0,0.0,0.0,0.0
29,30,0.0,0.0,10,0.0,0.0,0.0,0.0
30,30,0.0,0.0,10,0.0,0.0,0.0,0.0
31,30,0.0,0.0,30,0.0,0.0,0.0,0.0
32,30,0.0,0.0,30,0.0,0.0,0.0,0.0
33,30,0.0,0.0,30,0.0,0.0,0.0,0.0
34,30,0.0,0.0,30,0.0,0.0,0.0,0.0
35,30,0.0,0.0,30,0.0,0.0,0.0,0.0
36,30,0.0,0.0,10,0.0,0.0,0.0,0.0
